codigo,longitude,latitude,tipo
NS3-0208,-53.720261,-29.164272,recuperacao
LO1-2888,-53.71109,-29.162582,recuperacao
LO1-4445,-53.694992,-29.162907,recuperacao
LO3-2838,-53.712073,-29.180602,recuperacao
LO3-4670,-53.693258,-29.180982,recuperacao
NS5-1248,-53.699963,-29.174073,recuperacao
LO4-0158,-53.739847,-29.189057,recuperacao
NS2-2737,-53.731137,-29.186863,recuperacao
LO4-1703,-53.723976,-29.189381,recuperacao
NS4-3001,-53.710652,-29.189661,recuperacao
LO2-0616,-53.734668,-29.171122,nao_recuperacao
NS3-0985,-53.720448,-29.171277,nao_recuperacao
LO2-2810,-53.712131,-29.171581,nao_recuperacao
LO3-0098,-53.740229,-29.180029,nao_recuperacao
NS3-1652,-53.720583,-29.176389,nao_recuperacao
NS1-2535,-53.741364,-29.18484,nao_recuperacao
NS5-2572,-53.700278,-29.186001,nao_recuperacao
LO5-3541,-53.705332,-29.19878,nao_recuperacao
NS2-4527,-53.731567,-29.203,nao_recuperacao
NS5-4598,-53.700757,-29.204275,nao_recuperacao
